      1024 ,        8 ,    32.2581 ,  74.61
      1024 ,       32 ,    32.2581 ,  73.93
      1024 ,       64 ,    31.2500 ,  75.29
      1024 ,      128 ,    31.2500 ,  71.97
      4096 ,        8 ,   117.6471 ,  75.10
      4096 ,       32 ,   125.0000 ,  74.44
      4096 ,       64 ,   125.0000 ,  74.19
      4096 ,      128 ,   125.0000 ,  74.73
     16384 ,        8 ,   457.1428 ,  74.54
     16384 ,       32 ,   484.8485 ,  74.94
     16384 ,       64 ,   470.5882 ,  74.78
     16384 ,      128 ,   484.8485 ,  74.35
     65536 ,        8 ,  1368.0695 ,  74.53
     65536 ,       32 ,  1759.4501 ,  74.64
     65536 ,       64 ,  1836.7713 ,  74.44
     65536 ,      128 ,  1823.6865 ,  74.60
    262144 ,        8 ,  2898.7968 ,  74.74
    262144 ,       32 ,  4735.2601 ,  74.74
    262144 ,       64 ,  4920.1202 ,  74.71
    262144 ,      128 ,  4612.6126 ,  74.70
   1048576 ,        8 ,  4119.1704 ,  74.67
   1048576 ,       32 ,  9729.2161 ,  74.68
   1048576 ,       64 ,  9787.3354 ,  74.66
   1048576 ,      128 ,  9790.2596 ,  74.67
   2097152 ,        8 ,  4401.0475 ,  74.71
   2097152 ,       32 , 11906.9767 ,  74.69
   2097152 ,       64 , 12213.1945 ,  74.72
   2097152 ,      128 , 12163.3258 ,  74.69
